Batsman,Bowler,Runs_Scored,Balls_Faced,Player_Out,ID
A Ashish Reddy,A Nehra,5,5,A Ashish Reddy,2013
A Ashish Reddy,A Nehra,2,4,Not Out,2015
A Ashish Reddy,AB Dinda,6,3,Not Out,2013
A Ashish Reddy,AB Dinda,3,4,Not Out,2013
A Ashish Reddy,AD Mathews,13,8,Not Out,2013
A Ashish Reddy,AD Mathews,12,4,Not Out,2015
A Ashish Reddy,AD Russell,4,3,A Ashish Reddy,2016
A Ashish Reddy,Anureet Singh,2,2,Not Out,2015
A Ashish Reddy,Azhar Mahmood,2,3,Not Out,2013
A Ashish Reddy,B Kumar,1,1,Not Out,2013
A Ashish Reddy,BW Hilfenhaus,2,2,A Ashish Reddy,2012
A Ashish Reddy,CH Morris,10,4,Not Out,2013
A Ashish Reddy,CH Morris,1,1,Not Out,2015
A Ashish Reddy,DJ Bravo,1,1,Not Out,2012
A Ashish Reddy,DJ Bravo,19,10,Not Out,2013
A Ashish Reddy,DJ Bravo,4,2,A Ashish Reddy,2015
A Ashish Reddy,Harbhajan Singh,11,8,Not Out,2015
A Ashish Reddy,Imran Tahir,2,2,Not Out,2015
A Ashish Reddy,J Botha,0,2,Not Out,2013
A Ashish Reddy,JEC Franklin,3,3,Not Out,2012
A Ashish Reddy,JP Duminy,1,1,Not Out,2015
A Ashish Reddy,JP Faulkner,2,2,Not Out,2013
A Ashish Reddy,KA Pollard,3,3,A Ashish Reddy,2015
A Ashish Reddy,KK Cooper,8,5,Not Out,2013
A Ashish Reddy,M Kartik,6,8,Not Out,2013
A Ashish Reddy,M Morkel,4,4,A Ashish Reddy,2013
A Ashish Reddy,M Morkel,1,1,Not Out,2016
A Ashish Reddy,MG Johnson,7,3,Not Out,2015
A Ashish Reddy,MM Patel,0,2,A Ashish Reddy,2012
A Ashish Reddy,MM Sharma,7,2,Not Out,2013
A Ashish Reddy,MR Marsh,3,3,Not Out,2013
A Ashish Reddy,MS Gony,5,4,Not Out,2013
A Ashish Reddy,NM Coulter-Nile,0,1,A Ashish Reddy,2015
A Ashish Reddy,P Awana,0,2,A Ashish Reddy,2012
A Ashish Reddy,P Kumar,6,4,Not Out,2012
A Ashish Reddy,PP Chawla,2,2,Not Out,2012
A Ashish Reddy,PV Tambe,3,4,Not Out,2015
A Ashish Reddy,Parvez Rasool,18,9,Not Out,2016
A Ashish Reddy,R Vinay Kumar,4,5,A Ashish Reddy,2012
A Ashish Reddy,R Vinay Kumar,8,4,A Ashish Reddy,2013
A Ashish Reddy,R Vinay Kumar,2,2,Not Out,2013
A Ashish Reddy,RJ Peterson,7,5,Not Out,2012
A Ashish Reddy,RP Singh,1,2,A Ashish Reddy,2013
A Ashish Reddy,SL Malinga,3,4,Not Out,2015
A Ashish Reddy,SMSM Senanayake,3,4,A Ashish Reddy,2013
A Ashish Reddy,SP Narine,1,1,Not Out,2013
A Ashish Reddy,SR Watson,1,2,A Ashish Reddy,2016
A Ashish Reddy,SR Watson,2,3,Not Out,2016
A Ashish Reddy,STR Binny,4,4,A Ashish Reddy,2013
A Ashish Reddy,SW Tait,10,4,Not Out,2012
A Ashish Reddy,Sandeep Sharma,13,3,Not Out,2015
A Ashish Reddy,TG Southee,9,4,Not Out,2015
A Ashish Reddy,UT Yadav,12,5,Not Out,2013
A Ashish Reddy,UT Yadav,8,5,Not Out,2016
A Ashish Reddy,YS Chahal,13,7,Not Out,2016
A Badoni,AD Russell,10,8,Not Out,2022
A Badoni,AS Joseph,5,4,Not Out,2022
A Badoni,B Kumar,1,1,Not Out,2022
A Badoni,DJ Bravo,5,5,Not Out,2022
A Badoni,GJ Maxwell,1,1,Not Out,2022
A Badoni,HH Pandya,18,10,Not Out,2022
A Badoni,JD Unadkat,2,2,Not Out,2022
A Badoni,JJ Bumrah,3,5,Not Out,2022
A Badoni,JR Hazlewood,2,2,A Badoni,2022
A Badoni,K Rabada,4,4,A Badoni,2022
