Team Name,Player Name,| Role,| Price (in crore)
Chennai Super King,MS Dhoni,| Wicket-keepe,r | 12
Chennai Super King,Devon Conway,| Batsman,| 1
Chennai Super King,Ruturaj Gaikwad,| Batsman,| 6
Chennai Super King,Ajinkya Rahane,| Wicket-keepe,r | 0.5
Chennai Super King,Shaik Rasheed,| All-Rounder,| 0.2
Chennai Super King,Ravindra Jadeja,| All-Rounder,| 16
Chennai Super King,Mumbai Indianstchell Santner,| All-Rounder,| 1.9
Chennai Super King,Moeen Ali,| All-Rounder,| 8
Chennai Super King,Shivam Dube,| All-Rounder,| 4
Chennai Super King,Nishant Sindhu,| All-Rounder,| 0.6
Chennai Super King,Ajay Mandal,| All-Rounder,| 0.2
Chennai Super King,Rajvardhan Hangargekar,| Bowler,| 1.5
Chennai Super King,Deepak Chahar,| All-Rounder,| 14
Chennai Super King,Maheesh Theekshana,| Bowler,| 0.7
Chennai Super King,Mukesh Choudhary,| Bowler,| 0.2
Chennai Super King,Prashant Solanki,| Bowler,| 1.2
Chennai Super King,Simarjeet Singh,| Bowler,| 0.2
Chennai Super King,Tushar Deshpande,| Bowler,| 0.2
Chennai Super King,Matheesha Pathirana,| Bowler,| 0.2
Chennai Super King,Rachin Ravindra,| All-Rounder,| 1.8
Chennai Super King,Shardul Thakur,| All-Rounder,| 4
Chennai Super King,Daryl Mumbai Indianstchell,| All-Rounder,| 14
Chennai Super King,Sameer Rizvi,| Batter,| 8.4
Chennai Super King,Mustafizur Rahman,| Bowler,| 2
Chennai Super King,Avanish Rao Aravelly,| Wicket-keepe,r | 0.2
Delhi Capitals,David Warner,| Batter,| 6.25
Delhi Capitals,Rishabh Pant,| Wicketkeeper,| 16
Delhi Capitals,Ishant Sharma,| Bowler,| 0.5
Delhi Capitals,Abhishek Porel,| Wicketkeeper,| 0.2
Delhi Capitals,Mumbai Indianstchell Marsh,| All-rounder,| 6.5
Delhi Capitals,Anrich Nortje,| Bowler,| 6.5
Delhi Capitals,Prithvi Shaw,| Batter,| 7.5
Delhi Capitals,Kuldeep Yadav,| Bowler,| 2
Delhi Capitals,Pravin Dubey,| Bowler,| 0.5
Delhi Capitals,Vicky Ostwal,| All-Rounder,| 0.2
Delhi Capitals,Lungi Ngidi,| Bowler,| 0.5
Delhi Capitals,Mukesh Kumar,| Bowler,| 0.55
Delhi Capitals,Axar Patel,| All-Rounder,| 9
Delhi Capitals,Yash Dhull,| Batter,| 0.5
Delhi Capitals,Lalit Yadav,| All-Rounder,| 0.65
Delhi Capitals,HaRajasthan Royalsy Brook,| Batter,| 4
Delhi Capitals,Tristan Stubbs,| Wicket-keepe,r | 0.5
Delhi Capitals,Ricky Bhui,| Wicket-keepe,r | 0.2
Delhi Capitals,Kumar Kushagra,| Wicket-keepe,r | 7.2
Delhi Capitals,Rasikh Dar,| Bowler,| 0.2
Delhi Capitals,Jhye Richardson,| Bowler,| 5
Delhi Capitals,Sumeet Kumar,| Bowler,| 1
Delhi Capitals,Shai Hope,| Wicket-keepe,r | 0.75
Delhi Capitals,Swastik Chhikara,| Batter,| 0.2
Gujarat Titans,Rashid Khan,| Bowler,| 15
Gujarat Titans,Kane Williamson,| Batter,| 2
Gujarat Titans,Vijay Shankar,| All-rounder,| 1.4
Gujarat Titans,Sai Sudharsan,| Batter,| 0.2
Gujarat Titans,Mohit Sharma,| Bowler,| 0.5
Gujarat Titans,Mohammed ShaMumbai Indians,| Bowler,| 6.25
Gujarat Titans,Noor Ahmad,| Bowler,| 0.3
Gujarat Titans,Rahul Tewatia,| All-rounder,| 9
Gujarat Titans,Wriddhiman Saha,| Wicket-keepe,r | 1.9
Gujarat Titans,David Mumbai Indiansller,| Batter,| 3
Gujarat Titans,Shubman Gill,| Batter,| 7
Gujarat Titans,Jayant Yadav,| Bowler,| 1.7
Gujarat Titans,Abhinav Manohar,| Batter,| 2.6
Gujarat Titans,Joshua Little,| Bowler,| 4.4
Gujarat Titans,Sai Kishore,| Bowler,| 3
Gujarat Titans,Azmatullah Omarzai,| All-rounder,| 0.5
Gujarat Titans,Umesh Yadav,| Bowler,| 5.8
Gujarat Titans,Shahrukh Khan,| All-rounder,| 7.4
Gujarat Titans,Sushant Mumbai Indiansshra,| Bowler,| 2.2
Gujarat Titans,Kartik Tyagi,| Bowler,| 0.6
Gujarat Titans,Manav Suthar,| Bowler,| 0.2
Gujarat Titans,Spencer Johnson,| Bowler,| 10
Gujarat Titans,Robin Mumbai Indiansnz,| Wicket-keepe,r | 3.6
Kolkata Knight Riders,Shreyas Iyer,| Batter,| 12.25
Kolkata Knight Riders,Nitish Rana,| All-rounder,| 8
Kolkata Knight Riders,Rinku Singh,| Batter,| 0.55
Kolkata Knight Riders,Venkatesh Iyer,| All-rounder,| 8
Kolkata Knight Riders,Sunil Narine,| All-rounder,| 6
Kolkata Knight Riders,Varun Chakravarthy,| Bowler,| 8
Kolkata Knight Riders,Suyash Sharma,| Bowler,| 0.2
Kolkata Knight Riders,Andre Russell,| All-rounder,| 12
Kolkata Knight Riders,Jason Roy,| Batter,| 2.8
Kolkata Knight Riders,Anukul Roy,| Spinner,| 0.2
Kolkata Knight Riders,Vaibhav Arora,| Bowler,| 0.6
Kolkata Knight Riders,Rahmanullah Gurbaz,| Wicket-keepe,r | 0.5
